,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SBER,0.3551124420183726,-0.13990079454406798,0.09305864187288358,0.15366813283994907,0.15601757935754293,-0.05524795367093434,0.047632331164860764,-0.35053806626884854,0.6188680842407878,-0.5352679827067623
GAZP,0.3111537628790213,-0.18501392230580563,-0.21073229450598424,0.025940696912380955,0.637996745047724,0.48949902592316535,-0.3444127844063697,0.07682199933330876,-0.2290612741436412,0.015237081989314004
LKOH,0.32436755772623493,-0.26780180130003495,-0.2645644077785347,0.03577496069601662,-0.43991458819879314,-0.17633852698694522,-0.32775752446948175,0.5718498895196419,-0.033282952213598484,-0.3027020682636373
GMKN,0.3236884592188414,0.08181795300380344,-0.09542738740838623,-0.42506368975261033,0.09729612620934627,0.1751431804371991,0.6843364487550656,0.39871280858497543,0.1671616985883348,0.058078353908776914
ROSN,0.353607519817724,-0.11206186591592601,-0.2519771482510721,-0.030539444878212575,-0.21789514916118896,-0.02762316618324795,-0.17987019688648087,-0.24326449064745004,0.3701654262180236,0.7219307729682307
NVTK,0.3372916837244191,-0.19358757577608302,-0.2371620454990618,-0.20071713756339243,-0.06326170744178826,-0.318416657255812,0.23550052733654545,-0.49363904282006377,-0.5750022209637735,-0.1306376558529645
MGNT,0.30845215198344844,0.09329362887840471,0.3737505082115694,0.24147210943217523,-0.49196151873799876,0.6182178072417921,0.09280859317003941,-0.13975214098477698,-0.2108318077722402,-0.03663067800434305
MTSS,0.2903799135910613,0.2288629062727727,0.5915429262126168,-0.5548394489598842,0.0733952670412055,-0.20872620456536004,-0.3922479442980753,0.02741376599837891,-0.038646445850151166,0.021781239530743516
YDEX,0.31173030860861317,-0.06363709785459865,0.36116469351359703,0.5897588540288395,0.25697896931400677,-0.3992640069514363,0.2107006768847116,0.24863005364803312,-0.14415468479984062,0.26091550901047567
PLZL,0.22725974273138344,0.8675367493414827,-0.3578275370158314,0.1963748211151954,0.026377181147713587,-0.09079712354411176,-0.09321576534299486,-0.01676450363846864,-0.033290683941536996,-0.1005535220846776
