,n,среднее,σ_дн,σ_год,асимметрия,эксцесс_изб,JB_стат,JB_pvalue,норм?
rate_PC1,1204,-0.0001876621789166854,0.00508495248233299,0.08040015818949679,-3.999611969529031,51.04411255773803,133919.36535678382,0.0,нет
rate_PC2,1204,5.253509314679849e-06,0.0026984342962378277,0.042665992462125324,0.41109775403818,8.356024633662058,3536.7075154487147,0.0,нет
rate_PC3,1204,-8.342390510501423e-07,0.001842467761581587,0.029131973210149462,0.6083180156709255,9.831661604782665,4923.4456193764645,0.0,нет
eq_SBER,1204,0.0005014178513083971,0.020307140088232596,0.32108407721463833,-0.9799393058015851,15.324297241495014,11973.539707581882,0.0,нет
eq_GAZP,1204,-0.00023714238685372576,0.025060138596945027,0.39623558222921307,-2.303512144446989,46.68163377487082,110386.71350192919,0.0,нет
eq_LKOH,1204,0.0002968388431797347,0.018719953928683464,0.29598846054028505,-0.2845328908512197,6.051906974890734,1853.6289304812256,0.0,нет
eq_GMKN,1204,-0.0002931211195270139,0.019696037775043904,0.3114217012492692,0.16975385379276323,3.0526918247458017,473.2820084957216,1.6908989837079775e-103,нет
eq_ROSN,1204,0.00019160020418887232,0.019703364175239112,0.311537541807603,-0.42128623296191314,9.863764856431413,4916.523239415768,0.0,нет
eq_NVTK,1204,-6.439014009611465e-05,0.022592808270898608,0.3572236643776503,0.1411133692356994,4.35579122892178,955.803886286649,2.8172358224692824e-208,нет
eq_MGNT,1204,-0.00012432540218795742,0.020412126840168833,0.32274406351594637,-0.14971744268068382,7.467590896022138,2802.0378478863586,0.0,нет
eq_MTSS,1204,0.00020285450988394163,0.01926956555015944,0.304678583302097,2.0320446991295817,52.20408250461662,137546.11648142408,0.0,нет
eq_YDEX,1204,0.000276621095709357,0.02384378336117299,0.3770033172846593,-0.2388913706341766,4.641456665750115,1092.1983824491524,6.794142935498419e-238,нет
eq_PLZL,1204,0.0004883705045730023,0.01998461545365017,0.3159845149806685,-0.09599593298869488,3.7100754630070245,692.3762943600481,4.491568003575406e-151,нет
fx_USD,1204,-2.0289615653388206e-05,0.011851422483431092,0.187387442802857,0.847044424662406,21.038197238147315,22348.029949706564,0.0,нет
fx_EUR,1204,-3.8909706649342255e-05,0.012125809145288184,0.19172587685805126,0.4594003929822413,17.677485166057032,15719.106780136175,0.0,нет
