,α_левый,α_правый
rate_PC1,1.6434637715447429,2.881191878002927
rate_PC2,3.1376392092372565,2.684393292266086
rate_PC3,2.3591751518431643,2.3714161033991363
eq_SBER,2.630183132174464,2.828328055002138
eq_GAZP,2.020138694494814,2.3562585713593793
eq_LKOH,2.933824569963965,3.3548521800346336
eq_GMKN,4.577333588468819,4.331768459635681
eq_ROSN,2.915565492813011,2.8696624660807966
eq_NVTK,4.161516706695848,3.6032603086447197
eq_MGNT,3.4020869746390385,2.6735888335700677
eq_MTSS,2.051591711902366,2.152709126618619
eq_YDEX,2.9407407941626906,3.6484338557391354
eq_PLZL,3.147416497183954,4.126591972710039
fx_USD,3.2150883830487107,2.4568779506918643
fx_EUR,3.219916422996858,2.5208379565827546
