,rate_PC1,rate_PC2,rate_PC3,eq_SBER,eq_GAZP,eq_LKOH,eq_GMKN,eq_ROSN,eq_NVTK,eq_MGNT,eq_MTSS,eq_YDEX,eq_PLZL,fx_USD,fx_EUR
rate_PC1,1.4691035708978667e-05,5.295822888786231e-06,4.071227131921069e-07,-3.1051931385508253e-06,-6.488608220617872e-06,-1.356319922818627e-05,-8.383532047632086e-06,-8.099128642405213e-06,-7.134831234823305e-06,3.796036408278947e-06,-8.981687264759403e-06,-1.6560138722001643e-05,-1.3211720211140432e-05,3.3650830433133236e-06,1.2746923910320349e-06
rate_PC2,5.295822888786231e-06,5.70399512113565e-06,9.36389026333959e-07,5.291055140510231e-06,6.638340672779185e-06,6.899103772505837e-06,-2.3054669972512982e-07,2.231441770684784e-06,1.080896997318236e-05,1.118857416719164e-05,7.134668574873605e-07,7.611588742665438e-07,2.706379096097753e-06,3.619336530437096e-06,2.7875125540780037e-06
rate_PC3,4.071227131921069e-07,9.36389026333959e-07,2.3104921712921576e-06,-2.7567746610013794e-07,8.61627795446555e-08,1.726973728248415e-06,3.3033530082613954e-06,-2.398725293700303e-06,5.16591479247541e-07,-1.9590766551905826e-06,-2.553379950286579e-06,1.3157119456783918e-06,8.862111067607111e-07,1.0080883814322807e-06,-2.6879031547168215e-07
eq_SBER,-3.1051931385508253e-06,5.291055140510231e-06,-2.7567746610013794e-07,8.079042512107841e-05,0.00011290183623918324,6.873210942140303e-05,0.00011299695652942011,8.271130714690366e-05,0.00013861316203345005,6.191991323611985e-05,5.511132200156757e-05,6.885113478764905e-05,7.598289251411224e-05,-2.477704987411627e-05,-2.6245406675272393e-05
eq_GAZP,-6.488608220617872e-06,6.638340672779185e-06,8.61627795446555e-08,0.00011290183623918324,0.00023456035215419126,0.00015458725227488642,0.00019851781219173254,0.00015443879678408705,0.00028148847401304527,0.00010286342766321225,0.00010873582569747764,0.00011844654793495924,0.0001294396257039566,-2.812303600854028e-05,-2.805809687855232e-05
eq_LKOH,-1.356319922818627e-05,6.899103772505837e-06,1.726973728248415e-06,6.873210942140303e-05,0.00015458725227488642,0.00029638319013251325,0.00015375055474448285,0.00014755392833622511,0.0002190283554458355,9.466491869710357e-05,8.809484585539079e-05,0.0001450483571167741,0.00010962590548073933,-2.4429835776311787e-06,-4.484949695269955e-06
eq_GMKN,-8.383532047632086e-06,-2.3054669972512982e-07,3.3033530082613954e-06,0.00011299695652942011,0.00019851781219173254,0.00015375055474448285,0.0003588779526420074,0.00012962754091713953,0.0002347603713039665,9.985409586875362e-05,8.510180013529471e-05,0.000142605439139074,0.0001552516593688998,-3.124103904228161e-05,-5.3947886960959936e-05
eq_ROSN,-8.099128642405213e-06,2.231441770684784e-06,-2.398725293700303e-06,8.271130714690366e-05,0.00015443879678408705,0.00014755392833622511,0.00012962754091713953,0.00015348130421490478,0.00020036788439620925,7.0772025135556e-05,9.530598489418778e-05,9.473885618508847e-05,0.00010576011513663489,-2.4853424201595628e-05,-1.789857271555751e-05
eq_NVTK,-7.134831234823305e-06,1.080896997318236e-05,5.16591479247541e-07,0.00013861316203345005,0.00028148847401304527,0.0002190283554458355,0.0002347603713039665,0.00020036788439620925,0.0004002526296002167,0.00013116146647235174,0.00014515731100141094,0.00013707109683425012,0.0001893321547540906,-3.93414663830253e-05,-3.6728155959446e-05
eq_MGNT,3.796036408278947e-06,1.118857416719164e-05,-1.9590766551905826e-06,6.191991323611985e-05,0.00010286342766321225,9.466491869710357e-05,9.985409586875362e-05,7.0772025135556e-05,0.00013116146647235174,0.0002826667632665377,6.397517139112315e-05,6.51766458643319e-05,4.741217087584011e-05,-2.8143247591510775e-05,-2.4973241277243132e-05
eq_MTSS,-8.981687264759403e-06,7.134668574873605e-07,-2.553379950286579e-06,5.511132200156757e-05,0.00010873582569747764,8.809484585539079e-05,8.510180013529471e-05,9.530598489418778e-05,0.00014515731100141094,6.397517139112315e-05,0.00010037812993339012,6.540393823221868e-05,8.326146300014243e-05,-1.5855910554565954e-05,-1.119307589709664e-05
eq_YDEX,-1.6560138722001643e-05,7.611588742665438e-07,1.3157119456783918e-06,6.885113478764905e-05,0.00011844654793495924,0.0001450483571167741,0.000142605439139074,9.473885618508847e-05,0.00013707109683425012,6.51766458643319e-05,6.540393823221868e-05,0.0001673762894163833,7.216600916901459e-05,-1.331947181362036e-05,-2.0768904199431784e-05
eq_PLZL,-1.3211720211140432e-05,2.706379096097753e-06,8.862111067607111e-07,7.598289251411224e-05,0.0001294396257039566,0.00010962590548073933,0.0001552516593688998,0.00010576011513663489,0.0001893321547540906,4.741217087584011e-05,8.326146300014243e-05,7.216600916901459e-05,0.00019283119192550286,-1.96383943519277e-05,-1.4992674517715389e-05
fx_USD,3.3650830433133236e-06,3.619336530437096e-06,1.0080883814322807e-06,-2.477704987411627e-05,-2.812303600854028e-05,-2.4429835776311787e-06,-3.124103904228161e-05,-2.4853424201595628e-05,-3.93414663830253e-05,-2.8143247591510775e-05,-1.5855910554565954e-05,-1.331947181362036e-05,-1.96383943519277e-05,5.873298614605176e-05,4.7288453535569945e-05
fx_EUR,1.2746923910320349e-06,2.7875125540780037e-06,-2.6879031547168215e-07,-2.6245406675272393e-05,-2.805809687855232e-05,-4.484949695269955e-06,-5.3947886960959936e-05,-1.789857271555751e-05,-3.6728155959446e-05,-2.4973241277243132e-05,-1.119307589709664e-05,-2.0768904199431784e-05,-1.4992674517715389e-05,4.7288453535569945e-05,5.587711462113959e-05
