,rate_PC1,rate_PC2,rate_PC3,eq_SBER,eq_GAZP,eq_LKOH,eq_GMKN,eq_ROSN,eq_NVTK,eq_MGNT,eq_MTSS,eq_YDEX,eq_PLZL,fx_USD,fx_EUR
rate_PC1,2.316359719992563e-05,6.660341278586554e-07,5.46025558988154e-07,-1.0945301361269507e-05,-1.4135334872746672e-05,-1.1306768437129912e-05,-1.5272280293079093e-05,-1.1599543759440785e-05,-1.696270053619645e-05,-1.373001087713964e-05,-1.010009353873635e-05,-1.616019189721598e-05,-8.768927883754955e-06,-1.8887019137313902e-06,-2.0423775973458987e-06
rate_PC2,6.660341278586554e-07,5.849212606122985e-06,-1.4573582390478998e-07,5.181828436268178e-06,6.9578935588081826e-06,5.584018262537536e-06,8.45659860935812e-06,5.650509200430766e-06,8.50964045232164e-06,8.28311089417155e-06,3.3747955120361836e-06,4.8912116250055845e-06,4.148987082432612e-06,-5.564564503836396e-07,-5.020122695395183e-07
rate_PC3,5.460255589881539e-07,-1.4573582390478995e-07,2.0509901952938756e-06,-9.152782940957375e-07,-1.217732714117162e-07,-7.200372434047445e-07,-1.108221060049241e-06,-1.0985033050527792e-06,-8.268967667438645e-07,-1.1614820306359075e-06,-9.567538309845734e-07,-1.4394005152554645e-06,3.584368594853315e-07,1.1335683182117185e-06,1.4187972046774767e-06
eq_SBER,-1.0945301361269506e-05,5.181828436268178e-06,-9.152782940957375e-07,0.00011018053247618834,9.271575680149007e-05,7.988989315678568e-05,0.00010632762573606693,7.85830555021186e-05,0.00012578147587922754,8.607135611969716e-05,5.065572322359196e-05,8.118537328757461e-05,5.2067245645427815e-05,-2.8176089363665134e-06,-2.8457472014111906e-06
eq_GAZP,-1.413533487274667e-05,6.9578935588081826e-06,-1.2177327141171618e-07,9.271575680149008e-05,0.0002873577790306042,0.00011860612706348667,0.00015478044201042878,0.00011956958123265632,0.0001737339565050372,0.00011619117944426976,6.472505326664668e-05,0.0001038840880883691,6.953165801434342e-05,3.250096595180874e-06,5.553813920076782e-06
eq_LKOH,-1.1306768437129912e-05,5.584018262537537e-06,-7.200372434047444e-07,7.988989315678568e-05,0.00011860612706348667,0.00024375926730203586,0.00013530762334226302,0.00012008698692555506,0.00016712335410257528,0.00011152068812209667,5.733870896742233e-05,9.68337022988527e-05,6.138237718901168e-05,-3.000958262467614e-06,-5.904999869070769e-06
eq_GMKN,-1.5272280293079097e-05,8.45659860935812e-06,-1.108221060049241e-06,0.00010632762573606693,0.00015478044201042875,0.00013530762334226302,0.0003851067444397226,0.0001295034744840381,0.00020516821052339406,0.00015048188329658957,8.532495964299735e-05,0.00012460766865333463,0.00010618545838753435,-3.655634847120752e-06,-3.823421562901887e-06
eq_ROSN,-1.1599543759440786e-05,5.650509200430766e-06,-1.098503305052779e-06,7.85830555021186e-05,0.00011956958123265629,0.00012008698692555508,0.0001295034744840381,0.000164897345710997,0.00016411065340237772,0.00010753644329934673,5.543662382897261e-05,8.595217106032298e-05,6.537205177414898e-05,4.216416634459865e-06,3.9210853697204585e-06
eq_NVTK,-1.696270053619645e-05,8.50964045232164e-06,-8.268967667438645e-07,0.00012578147587922757,0.00017373395650503723,0.00016712335410257528,0.00020516821052339403,0.00016411065340237775,0.00042201077258469675,0.00015550584116468712,9.373459509227065e-05,0.00014099873081455268,9.574954290610166e-05,3.1389842555623415e-06,1.664973808452416e-06
eq_MGNT,-1.3730010877139639e-05,8.28311089417155e-06,-1.1614820306359077e-06,8.607135611969716e-05,0.00011619117944426976,0.00011152068812209667,0.0001504818832965896,0.00010753644329934673,0.00015550584116468712,0.0002912532573584155,6.597995618474609e-05,0.00011152000561569894,7.710870486362238e-05,-3.529598701939217e-06,-2.8339711647018433e-06
eq_MTSS,-1.010009353873635e-05,3.3747955120361836e-06,-9.567538309845734e-07,5.0655723223591964e-05,6.472505326664668e-05,5.733870896742233e-05,8.532495964299734e-05,5.5436623828972606e-05,9.373459509227065e-05,6.597995618474609e-05,0.00010017680139796398,6.246740157840228e-05,4.217364430550477e-05,6.175597443163037e-07,1.585251602283501e-07
eq_YDEX,-1.6160191897215984e-05,4.891211625005583e-06,-1.4394005152554647e-06,8.118537328757463e-05,0.0001038840880883691,9.68337022988527e-05,0.0001246076686533346,8.595217106032299e-05,0.0001409987308145527,0.00011152000561569892,6.24674015784023e-05,0.00021752168476744572,6.849836847224777e-05,-2.7898589737006914e-06,-3.6024942224211954e-06
eq_PLZL,-8.768927883754957e-06,4.148987082432612e-06,3.584368594853314e-07,5.206724564542782e-05,6.953165801434341e-05,6.138237718901166e-05,0.00010618545838753435,6.537205177414897e-05,9.574954290610165e-05,7.710870486362238e-05,4.2173644305504766e-05,6.849836847224776e-05,0.00021759735149558493,3.1441232104348157e-06,2.1644611609424473e-06
fx_USD,-1.8887019137313904e-06,-5.564564503836396e-07,1.1335683182117183e-06,-2.8176089363665134e-06,3.250096595180874e-06,-3.000958262467614e-06,-3.655634847120751e-06,4.216416634459865e-06,3.138984255562342e-06,-3.5295987019392167e-06,6.175597443163037e-07,-2.789858973700691e-06,3.1441232104348157e-06,8.837485006193754e-05,7.483957392771385e-05
fx_EUR,-2.0423775973458983e-06,-5.020122695395182e-07,1.418797204677477e-06,-2.8457472014111906e-06,5.553813920076782e-06,-5.904999869070768e-06,-3.823421562901887e-06,3.92108536972046e-06,1.6649738084524162e-06,-2.8339711647018433e-06,1.5852516022835007e-07,-3.6024942224211954e-06,2.1644611609424473e-06,7.483957392771383e-05,9.03431233499845e-05
