,rate_PC1,rate_PC2,rate_PC3,eq_SBER,eq_GAZP,eq_LKOH,eq_GMKN,eq_ROSN,eq_NVTK,eq_MGNT,eq_MTSS,eq_YDEX,eq_PLZL,fx_USD,fx_EUR
rate_PC1,2.5835266048458267e-05,4.19488651304031e-07,3.1721526548990126e-07,-2.2060903867795187e-05,-2.7565672666089237e-05,-1.9052461906829158e-05,-1.925190174706583e-05,-2.8822099019707977e-05,-2.4151408160273473e-05,-2.2098743233422294e-05,-2.8590959893482593e-05,-2.4161909513574807e-05,-1.8720762938030437e-05,-2.4563617713654724e-07,2.8508688384214667e-07
rate_PC2,4.19488651304031e-07,7.275499854059944e-06,-7.429620804288405e-08,9.262484832475027e-06,1.0584307714724919e-05,6.754321882974266e-06,8.339809946270652e-06,9.46671701459535e-06,8.276179612691919e-06,1.1013568368585386e-05,7.090070020655243e-06,7.480043226466817e-06,6.539368902738568e-06,-2.0959754630259065e-06,-1.9174821061032456e-06
rate_PC3,3.1721526548990126e-07,-7.429620804288405e-08,3.391867944616458e-06,-1.0641151589800712e-06,1.0147517999721564e-06,-4.3422526500988415e-07,-4.398375389213053e-07,-1.0462599666972878e-06,4.4810120705243534e-07,-1.9572066246192827e-06,-3.1192387065735338e-06,-2.502075916800554e-06,1.4024167689829207e-06,1.8497708732586601e-06,2.0532875743277276e-06
eq_SBER,-2.2060903867795187e-05,9.262484832475027e-06,-1.0641151589800712e-06,0.00041203743030848174,0.00029249228252880714,0.00021433199373565578,0.0002237939282778802,0.0002578806768690631,0.0002801007885176931,0.00022802929981280507,0.00019837401888592177,0.0002946775475208835,0.000142333269040004,-1.235940424422138e-05,-1.5667936640518073e-05
eq_GAZP,-2.7565672666089237e-05,1.0584307714724919e-05,1.0147517999721564e-06,0.00029249228252880714,0.0006274889430541571,0.00023399248126999668,0.0002462372580621504,0.00027616367475065287,0.0002896792872771746,0.0002273631850230157,0.00019606103031627193,0.0002770613722484624,0.00015606638364394214,2.6238424367379524e-06,5.16521632684427e-06
eq_LKOH,-1.9052461906829158e-05,6.754321882974266e-06,-4.3422526500988415e-07,0.00021433199373565578,0.00023399248126999668,0.0003501456147306581,0.0001805784449180341,0.00023686764954215157,0.00024671270403444295,0.0001845786498349338,0.0001498859435172452,0.00021652350602635852,0.00011369218478404718,-3.851805417534206e-06,-8.691726524621616e-06
eq_GMKN,-1.925190174706583e-05,8.339809946270652e-06,-4.398375389213053e-07,0.0002237939282778802,0.0002462372580621504,0.0001805784449180341,0.0003876116997967225,0.00021480099246746988,0.0002542177740492361,0.00019973222097470679,0.00018011213606592067,0.0002165451849719068,0.00015397839308025423,-2.7559206845955106e-06,-3.521397335590284e-06
eq_ROSN,-2.8822099019707977e-05,9.46671701459535e-06,-1.0462599666972878e-06,0.0002578806768690631,0.00027616367475065287,0.00023686764954215157,0.00021480099246746988,0.00038790011583553176,0.000283754141407347,0.0002165280995845167,0.00017930908473513945,0.00023749773704589898,0.0001568088720851557,8.481600395235548e-06,9.124904696504615e-06
eq_NVTK,-2.4151408160273473e-05,8.276179612691919e-06,4.4810120705243534e-07,0.0002801007885176931,0.0002896792872771746,0.00024671270403444295,0.0002542177740492361,0.000283754141407347,0.0005100110362420237,0.00021309362362462365,0.00019718110986183192,0.00027383101208242413,0.00015099238213213002,1.1217709751030008e-05,4.972709780840063e-06
eq_MGNT,-2.2098743233422294e-05,1.1013568368585386e-05,-1.9572066246192827e-06,0.00022802929981280507,0.0002273631850230157,0.0001845786498349338,0.00019973222097470679,0.0002165280995845167,0.00021309362362462365,0.0004163088632337083,0.00018405830226211228,0.00023860579394950797,0.00014120208622176944,-1.4613435954998412e-05,-1.0962076859984354e-05
eq_MTSS,-2.8590959893482593e-05,7.090070020655243e-06,-3.1192387065735338e-06,0.00019837401888592177,0.00019606103031627193,0.0001498859435172452,0.00018011213606592067,0.00017930908473513945,0.00019718110986183192,0.00018405830226211228,0.00037100775436855847,0.0002078107929029555,0.00013303676112094015,-1.4993664881538967e-05,-1.3553695652345653e-05
eq_YDEX,-2.4161909513574807e-05,7.480043226466817e-06,-2.502075916800554e-06,0.0002946775475208835,0.0002770613722484624,0.00021652350602635852,0.0002165451849719068,0.00023749773704589898,0.00027383101208242413,0.00023860579394950797,0.0002078107929029555,0.0005680538072959981,0.00015446651407178364,-1.3085136396167065e-05,-1.5940593839997317e-05
eq_PLZL,-1.8720762938030437e-05,6.539368902738568e-06,1.4024167689829207e-06,0.000142333269040004,0.00015606638364394214,0.00011369218478404718,0.00015397839308025423,0.0001568088720851557,0.00015099238213213002,0.00014120208622176944,0.00013303676112094015,0.00015446651407178364,0.00039905313983456566,2.5546937254865542e-06,1.4077523092210021e-06
fx_USD,-2.4563617713654724e-07,-2.0959754630259065e-06,1.8497708732586601e-06,-1.235940424422138e-05,2.6238424367379524e-06,-3.851805417534206e-06,-2.7559206845955106e-06,8.481600395235548e-06,1.1217709751030008e-05,-1.4613435954998412e-05,-1.4993664881538967e-05,-1.3085136396167065e-05,2.5546937254865542e-06,0.00014033955689499408,0.0001294547438649515
fx_EUR,2.8508688384214667e-07,-1.9174821061032456e-06,2.0532875743277276e-06,-1.5667936640518073e-05,5.16521632684427e-06,-8.691726524621616e-06,-3.521397335590284e-06,9.124904696504615e-06,4.972709780840063e-06,-1.0962076859984354e-05,-1.3553695652345653e-05,-1.5940593839997317e-05,1.4077523092210021e-06,0.0001294547438649515,0.00014691312512942574
