,rate_PC1,rate_PC2,rate_PC3,eq_SBER,eq_GAZP,eq_LKOH,eq_GMKN,eq_ROSN,eq_NVTK,eq_MGNT,eq_MTSS,eq_YDEX,eq_PLZL,fx_USD,fx_EUR
rate_PC1,8.61276161343874e-06,6.497695641525274e-07,5.51946619606854e-07,-5.324086810396236e-06,-6.098998430585455e-06,-3.3385519884895003e-06,-4.982281253704472e-06,-5.166253234393499e-06,-5.004334597741775e-06,-4.20136907220841e-06,-4.283190188612977e-06,-6.220310525670296e-06,-4.299188071323024e-06,5.832464402767948e-07,3.949061280275045e-07
rate_PC2,6.497695641525274e-07,3.666457639955097e-06,-1.2236662854500805e-07,4.270703719877173e-06,4.096321923191482e-06,3.443636090078304e-06,4.330790339451484e-06,3.911067943539368e-06,4.40900330446713e-06,4.856214683703455e-06,2.7660543472387584e-06,3.312214760661404e-06,2.8885431581460277e-06,-3.6234616396602775e-07,-3.23862376240096e-07
rate_PC3,5.51946619606854e-07,-1.22366628545008e-07,1.8257014214426373e-06,-6.11251015642713e-07,-5.206683075265885e-07,-6.844448377306228e-07,-9.219257516127983e-07,-1.2366894592904903e-06,-9.115782015094322e-07,-7.78504752762108e-07,-8.801103922931477e-07,-1.2902801489589234e-06,5.46976921956032e-07,-2.3386916175572279e-07,-1.6346848287214564e-07
eq_SBER,-5.324086810396236e-06,4.270703719877173e-06,-6.11251015642713e-07,0.00018683933144694504,0.00012157470750335565,9.868585592408518e-05,0.00010453709439459254,0.00011223364417780476,0.0001330490985833552,0.00010271842552450795,7.802303686029075e-05,0.00012490739860418967,6.801616247348166e-05,-5.800352945680553e-06,-5.145410030551445e-06
eq_GAZP,-6.0989984305854565e-06,4.096321923191482e-06,-5.206683075265883e-07,0.00012157470750335565,0.00022729963043591474,0.00011167697801186258,0.00011977852982098246,0.000124852202455537,0.00015384214881435652,0.00010256336417455713,7.950620960393788e-05,0.00012049224327805146,6.142452577517322e-05,-4.291140184340105e-06,-1.9347905414164115e-06
eq_LKOH,-3.338551988489501e-06,3.443636090078304e-06,-6.844448377306226e-07,9.868585592408518e-05,0.00011167697801186257,0.0001874360316864038,9.531413361094169e-05,0.00012689569247697403,0.00013567336800353983,9.41392754503334e-05,6.081323491424433e-05,0.00010396944922348048,5.53394969934601e-05,-1.370841453310177e-06,-2.276518809939662e-06
eq_GMKN,-4.982281253704472e-06,4.3307903394514846e-06,-9.219257516127981e-07,0.00010453709439459256,0.00011977852982098246,9.531413361094169e-05,0.00023467227755168571,0.00010476403488376823,0.00013282700037144438,9.490105894773111e-05,7.744171170152902e-05,0.00011115598957888256,8.084443092324926e-05,-5.329496954998104e-06,-4.391357953796463e-06
eq_ROSN,-5.166253234393498e-06,3.911067943539368e-06,-1.2366894592904903e-06,0.00011223364417780476,0.00012485220245553704,0.00012689569247697403,0.00010476403488376823,0.00020242846352631634,0.0001471775934917009,0.00010314610983062108,7.161391113991808e-05,0.00010467431900425278,6.628745357230798e-05,-7.570103055235565e-07,1.9064810100480993e-07
eq_NVTK,-5.004334597741775e-06,4.40900330446713e-06,-9.115782015094322e-07,0.0001330490985833552,0.00015384214881435652,0.00013567336800353983,0.00013282700037144438,0.0001471775934917009,0.0002902041818409388,0.00011429888585412021,8.93355879065662e-05,0.00013248803246302632,7.669527369933618e-05,-2.264093835362703e-06,-1.4811743016812853e-06
eq_MGNT,-4.201369072208409e-06,4.856214683703455e-06,-7.78504752762108e-07,0.00010271842552450797,0.00010256336417455712,9.41392754503334e-05,9.490105894773111e-05,0.00010314610983062108,0.00011429888585412021,0.00022364731787441618,7.397703522690803e-05,0.00011318215470319801,6.961402876657831e-05,-4.202126566571999e-06,-2.6443869669183743e-06
eq_MTSS,-4.283190188612978e-06,2.766054347238758e-06,-8.801103922931479e-07,7.802303686029075e-05,7.950620960393789e-05,6.081323491424433e-05,7.744171170152903e-05,7.161391113991808e-05,8.93355879065662e-05,7.397703522690805e-05,0.0001278968150272453,9.053765053861349e-05,5.630731902514332e-05,7.4281314420749e-08,5.779703073034131e-07
eq_YDEX,-6.220310525670296e-06,3.312214760661404e-06,-1.2902801489589234e-06,0.00012490739860418967,0.00012049224327805146,0.00010396944922348048,0.00011115598957888253,0.00010467431900425278,0.0001324880324630263,0.00011318215470319801,9.05376505386135e-05,0.00032417878319121473,8.063824965400805e-05,-4.054212239361817e-06,-4.597976337098621e-06
eq_PLZL,-4.299188071323024e-06,2.8885431581460277e-06,5.46976921956032e-07,6.801616247348166e-05,6.142452577517322e-05,5.5339496993460085e-05,8.084443092324926e-05,6.628745357230798e-05,7.669527369933618e-05,6.961402876657831e-05,5.630731902514332e-05,8.063824965400803e-05,0.00025423042936987346,-2.1134415857535514e-06,-2.971896469957918e-06
fx_USD,5.832464402767946e-07,-3.6234616396602775e-07,-2.3386916175572279e-07,-5.800352945680553e-06,-4.291140184340105e-06,-1.370841453310177e-06,-5.329496954998103e-06,-7.570103055235567e-07,-2.264093835362703e-06,-4.202126566571998e-06,7.428131442074836e-08,-4.054212239361816e-06,-2.1134415857535514e-06,5.8639895410329865e-05,5.093890071808928e-05
fx_EUR,3.949061280275044e-07,-3.2386237624009586e-07,-1.634684828721456e-07,-5.1454100305514465e-06,-1.934790541416412e-06,-2.276518809939662e-06,-4.391357953796462e-06,1.906481010048108e-07,-1.4811743016812849e-06,-2.6443869669183756e-06,5.779703073034132e-07,-4.597976337098622e-06,-2.9718964699579177e-06,5.093890071808928e-05,6.0038183358485435e-05
