,модель,горизонт_дн,сценариев,стоимость_портфеля,mean_pnl,std_pnl,VaR_0.990,ES_0.975,VaR_%стоимости,ES_%стоимости,min_pnl,max_pnl
3,EWMA λ=0.94 + нормаль,1,50000,248543752.77597776,9260.99946196996,1436499.745594177,3309722.873383317,3325258.439042352,1.3316459723558212,1.337896608505601,-5302870.136013634,6358820.942600224
4,GARCH-CCC + t (ν≈4.43),1,50000,248543752.77597776,-1460.4382777484823,1820681.9614643299,4727842.38736427,5045946.7220129995,1.902217349886746,2.0302046081041953,-20621162.875209667,26780109.870743573
1,Нормаль i.i.d.,1,50000,248543752.77597776,-16458.439273044572,2354373.9798250026,5395869.190628995,5446521.369984847,2.1709936903916085,2.191373272976211,-9562738.501686329,9535625.215022398
2,t-Стьюдента i.i.d. (ν=4.02),1,50000,248543752.77597776,65931.83080077774,2116174.2710626214,5510231.970240882,5851879.129480029,2.2170068282534827,2.3544663923838622,-33301234.30818683,46064909.9288532
0,Историческая симуляция,1,1204,248543752.77597776,8944.18491640002,2359580.289281854,7383100.709145125,7474649.826100502,2.9705436675367993,3.0073778731576883,-14426156.195342788,27703152.10501748
8,EWMA λ=0.94 + нормаль,10,50000,248543752.77597776,16570.54265972589,4515544.800203624,10240700.423159068,10284210.565202363,4.120280758933182,4.137786788176456,-19107359.460055273,18234522.577615388
9,GARCH-CCC + t (ν≈4.43),10,50000,248543752.77597776,13605.525824851498,5785765.5536365155,14832507.687704235,15392292.499305835,5.967765241347006,6.192991104137513,-47512519.724231556,118963387.28962833
7,t-Стьюдента i.i.d. (ν=4.02),10,50000,248543752.77597776,496470.36364797043,6682217.477276018,15367482.424703825,15670140.126973199,6.183008928232906,6.304781332040685,-40226260.188906126,63642996.38188848
6,Нормаль i.i.d.,10,50000,248543752.77597776,133062.31735694676,7427231.543333584,16406162.134460127,16586613.63970258,6.600915111009709,6.673518627785727,-30739739.225453805,35264651.75266078
5,Историческая симуляция,10,1195,248543752.77597776,162650.67343372744,7837671.651359647,25426685.50276483,24115919.79236177,10.230265383368094,9.702887126717844,-37088025.723146565,32619885.818948336
